,Make,Model,Variant,Ex-Showroom_Price,Displacement,Fuel_Type,Body_Type,City_Mileage,Highway_Mileage,Electric_Range,Launch Month,Emission_Norm,Airbags,Type,Gross_Vehicle_Weight,Electric_Range,Battery,Power,Torque
285,Audi,A3 Cabriolet,40 Tfsi,"Rs. 50,38,000",1395 cc,Petrol,Convertible,19.2 km/litre,,,February,BS IV,"Driver frontal airbag, Driver head airbag, Front passenger frontal airbag, Front passenger head airbag, Front passenger side airbag, Drive side airbag, Driver knee airbag",Automatic,1930 kg,,,148 bhp @ 5100 rpm,250 Nm @ 1250 RPM
286,Audi,A6,Premium Plus 45 Tfsi,"Rs. 54,42,200",1984 cc,Petrol,Sedan,,,,October,BS 6,"Rear passenger curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Drive side airbag, Front passenger curtain airbag, Driver curtain airbag",Automatic,2345 kg,,,245PS@5000-6500rpm,370Nm@1600-4500rpm
287,Audi,A6,Technology 45 Tfsi,"Rs. 59,42,200",1984 cc,Petrol,Sedan,,,,October,BS 6,"Rear passenger curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Drive side airbag, Front passenger curtain airbag, Driver curtain airbag",Automatic,2345 kg,,,245PS@5000-6500rpm,370Nm@1600-4500rpm
288,Bmw,X3,Xdrive 20D Luxury Line,"Rs. 59,30,000",1995 cc,Diesel,SUV,16 km/litre,18.56 km/litre,,January,BS IV,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Drive side airbag",Automatic,2300 kg,,,190PS@4000rpm,400Nm@1750-2500rpm
289,Bmw,X3,Xdrive 30I Luxury Line,"Rs. 58,80,000",1998 cc,Petrol,SUV,16 km/litre,18.56 km/litre,,January,BS IV,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Drive side airbag",Automatic,2300 kg,,,248 bhp @ 5200 rpm,350 Nm @ 1450 rpm
290,Bmw,X3,Xdrive20D Xline,"Rs. 56,00,000",1995 cc,Diesel,SUV,16 km/litre,18.56 km/litre,,January,BS IV,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Drive side airbag",Automatic,2300 kg,,,190PS@4000rpm,400Nm@1750-2500rpm
291,Land Rover,Discovery Sport,S,"Rs. 57,06,000",1999 cc,Diesel,SUV,,,,February,BS 6,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Driver knee airbag, Drive side airbag",Automatic,,,,179PS@4000rpm,430NM@1750rpm
292,Land Rover,Discovery Sport,R-Dynamic Se,"Rs. 60,89,000",1999 cc,Diesel,SUV,,,,February,BS 6,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Driver knee airbag, Drive side airbag",Automatic,,,,179PS@4000rpm,430NM@1750rpm
293,Volvo,S90,D4 Inscription,"Rs. 58,90,000",1969 cc,Diesel,Sedan,"11,44 km/litre",,,October,BS IV,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger curtain airbag, Driver curtain airbag, Rear passenger curtain airbags",Automatic,,,,190PS@4250rpm,400NM@1750rpm
294,Audi,S5,Sportback,"Rs. 72,43,000",2995 cc,Petrol,Sedan,,,,March,BS IV,"Rear passenger side airbags, Driver head airbag, Front passenger head airbag, Drive side airbag, Rear passenger head airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag",Automatic,2230 kg,,,333PS@5400-6400RPM,500Nm@1370-4500rpm
295,Bmw,X5,Xdrive30D Sport,"Rs. 73,30,000",2993 cc,Diesel,SUV,,,,May,BS IV,"Driver head airbag, Front passenger head airbag, Rear passenger head airbags, Curtain airbags, Driver frontal airbag, Front passenger frontal airbag",Automatic,,,,265HP@4000rpm,620Nm@1500-2500rpm
296,Bmw,X5,Xdrive30D Xline,"Rs. 82,90,000",2993 cc,Diesel,SUV,,,,May,BS IV,"Driver head airbag, Front passenger head airbag, Rear passenger head airbags, Curtain airbags, Driver frontal airbag, Front passenger frontal airbag",Automatic,,,,265HP@4000rpm,620Nm@1500-2500rpm
297,Bmw,X5,Xdrive40I M Sport,"Rs. 82,90,000",2998 cc,Petrol,SUV,,,,May,BS IV,"Driver head airbag, Front passenger head airbag, Rear passenger head airbags, Driver frontal airbag, Curtain airbags, Front passenger frontal airbag",Automatic,,,,340HP@4000rpm,450Nm@1500-5200rpm
298,Ford,Mustang,Fastback V8,"Rs. 74,62,000",4951 cc,Petrol,"Sedan, Coupe",10 km/litre,13 km/litre,,October,BS IV,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Curtain airbags, Driver knee airbag, Drive side airbag, Driver curtain airbag",Automatic,,,,401PS@6550RPM,515Nm@4250-4300RPM
299,Jeep,Grand Cherokee,Limited,"Rs. 78,82,867",2987 cc,Diesel,SUV,12.8 km/litre,,,September,BS IV,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Drive side airbag",Automatic,2955 kg,,,240PS@3600rpm,570Nm@2000rpm
300,Jeep,Grand Cherokee,Summit,"Rs. 89,31,819",2987 cc,Diesel,SUV,12.8 km/litre,,,September,BS IV,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags, Drive side airbag",Automatic,2955 kg,,,240PS@3600rpm,570Nm@2000rpm
301,Jeep,Grand Cherokee,Srt,"Rs. 1,14,00,000",6417 cc,Petrol,SUV,12.8 km/litre,,,September,BS IV,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags",Automatic,2949 kg,,,468 bhp @ 6250 rpm,624 Nm @ 4100 rpm
302,Jeep,Grand Cherokee,Summit Petrol,"Rs. 75,15,000",3604 cc,Petrol,SUV,,,,September,BS IV,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags, Drive side airbag",Automatic,2955 kg,,,286PS@6350rpm,347Nm@4300rpm
303,Mercedes-Benz,Mercedes-Benz E-Class Cabriolet,E400,"Rs. 77,11,338",2996 cc,Petrol,Convertible,4.5 km/litre,8.5 km/litre,,March,BS IV,"Curtain airbags, Driver frontal airbag, Drive side airbag, Front passenger frontal airbag, Front passenger side airbag",,2140 kg,,,334PS@6000RPM,480Nm@1600-4000RPM
304,Bmw,M2 Competition,Coupe,"Rs. 81,80,000",2979 cc,Petrol,Coupe,12.5-12.7 km/litre,8.3-8.4 km/litre,,August,BS 6,"Front passenger knee airbag, Rear passenger head airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Driver knee airbag, Driver head airbag, Front passenger head airbag, Drive side airbag",Automatic,2010 kg,,,410hp@5230-7000RPM,550Nm@2350-5230rpm
305,Porsche,718,Boxster,"Rs. 89,95,000",1988 cc,Petrol,Convertible,9 km/litre,7.4 km/litre,,January,BS IV,"Driver frontal airbag, Front passenger frontal airbag, Curtain airbags",Automatic,1650 kg,,,300PS@6500rpm,380Nm@1950-4500RPM
306,Porsche,718,Cayman,"Rs. 85,95,000",1988 cc,Petrol,Coupe,9 km/litre,7.4 km/litre,,January,BS IV,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag",Automatic,1650 kg,,,300PS@6500rpm,380Nm@1950-4500RPM
307,Mercedes-Benz,Mercedes-Benz Gls,350 Cdi,"Rs. 88,20,000",2987 cc,Diesel,SUV,6.5 km/litre,10.5 km/litre,,June,BS IV,"Driver frontal airbag, Front passenger frontal airbag, Rear passenger side airbags, Driver knee airbag, Front passenger pelvic airbag, Driver pelvic airbag, Curtain airbags",Automatic,3250 kg,,,258PS@3600rpm,619Nm@1600-2400RPM
308,Mercedes-Benz,Mercedes-Benz Gls,63 Amg,"Rs. 1,91,99,181",5461 cc,Petrol,SUV,9 km/litre,12 km/litre,,June,BS IV,"Front passenger frontal airbag, Rear passenger side airbags, Driver knee airbag, Front passenger pelvic airbag, Driver pelvic airbag, Curtain airbags, Driver frontal airbag",Automatic,2390 kg,,,557PS@5500RPM,760Nm@5250RPM
309,Mercedes-Benz,Mercedes-Benz Gls,400 4Matic,"Rs. 87,76,900",2996 cc,Petrol,SUV,9 km/litre,12 km/litre,,June,BS IV,"Front passenger side airbag, Rear passenger side airbags, Drive side airbag, Front passenger pelvic airbag, Driver pelvic airbag, Rear passenger pelvic airbags, Curtain airbags, Driver frontal airbag, Front passenger frontal airbag",Automatic,2390 kg,,,333PS@5250rpm,480Nm@5250rpm
310,Mercedes-Benz,Mercedes-Benz Gls,Grand Edition Petrol,"Rs. 86,90,000",2996 cc,Petrol,SUV,9 km/litre,12 km/litre,,June,BS IV,"Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags, Drive side airbag, Front passenger pelvic airbag, Driver pelvic airbag, Rear passenger pelvic airbags, Curtain airbags, Driver frontal airbag",Automatic,2390 kg,,,333PS@5250rpm,480Nm@5250rpm
311,Mercedes-Benz,Mercedes-Benz Gls,Grand Edition Diesel,"Rs. 86,90,000",2987 cc,Diesel,SUV,6.5 km/litre,10.5 km/litre,,June,BS IV,"Driver frontal airbag, Front passenger frontal airbag, Rear passenger side airbags, Driver knee airbag, Curtain airbags, Front passenger pelvic airbag, Driver pelvic airbag",Automatic,3250 kg,,,258PS@3600rpm,619Nm@1600-2400RPM
313,Lexus,Rx 450H,450Hl Luxury,"Rs. 99,00,000",3456 cc,Petrol,SUV,18.8 km/litre,,,March,BS IV,"Drive side airbag, Front passenger curtain airbag, Driver curtain airbag, Rear passenger curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Curtain airbags, Front passenger side airbag, Rear passenger side airbags, Driver knee airbag",Automatic,2840 kg,,,262PS@6000rpm,335Nm@4600rpm
314,Audi,Rs5,Coupe,"Rs. 1,11,41,200",2894 cc,Petrol,Coupe,,,,August,BS IV,"Front passenger head airbag, Drive side airbag, Rear passenger head airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag",Automatic,2155??kg,,,450PS@5700-6700rpm,600Nm@1900-5000rpm
315,Bmw,7-Series,730Ld Design Pure Excellence,"Rs. 1,22,90,000",2993 cc,Diesel,Sedan,13.5 km/litre,16.46 km/litre,,March,BS 6,"Driver head airbag, Front passenger head airbag, Drive side airbag, Rear passenger head airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag",Automatic,2560 kg,,,265PS@4000RPM,620Nm@2000-2500RPM
316,Bmw,7-Series,730Ld Design Pure Excellence Signature,"Rs. 1,32,00,000",2993 cc,Diesel,Sedan,13.5 km/litre,16.46 km/litre,,March,BS 6,"Driver head airbag, Front passenger head airbag, Drive side airbag, Rear passenger head airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag",Automatic,2560 kg,,,265PS@4000RPM,620Nm@2000-2500RPM
317,Bmw,7-Series,730Ld M Sport,"Rs. 1,35,10,000",2993 cc,Diesel,Sedan,13.5 km/litre,16.46 km/litre,,March,BS 6,"Driver head airbag, Front passenger head airbag, Drive side airbag, Rear passenger head airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag",Automatic,2560 kg,,,265PS@4000RPM,620Nm@2000-2500RPM
318,Bmw,7-Series,740Li Design Pure Excellence Signature,"Rs. 1,35,10,000",2998 cc,Petrol,Sedan,,,,March,BS 6,"Driver head airbag, Front passenger head airbag, Drive side airbag, Rear passenger head airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag",Automatic,2500 kg,,,340PS@5500-6500RPM,450Nm@1500-5200rpm
319,Bmw,7-Series,745Le Xdrive,"Rs. 1,65,00,000",2998 cc,Hybrid,Sedan,,,39.53 km/full charge,March,BS 6,"Driver head airbag, Front passenger head airbag, Drive side airbag, Rear passenger head airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag",Automatic,2705 kg,39.53 km/full charge,,286PS@5000-6000RPM,450Nm@1380-5000RPM
320,Bmw,7-Series,M760Li Xdrive,"Rs. 2,42,50,000",6592 cc,Petrol,Sedan,,,,March,BS 6,"Driver head airbag, Front passenger head airbag, Drive side airbag, Rear passenger head airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag",Automatic,2840 kg,,,609PS@5400-6500RPM,850Nm@1550-5000RPM
321,Audi,Q8,55 Tfsi Quattro Tiptronic,"Rs. 1,33,59,500",2995 cc,Petrol,SUV,,,,January,BS 6,"Driver head airbag, Front passenger head airbag, Drive side airbag, Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag",Automatic,2830 kg,,,340PS@5000rpm,500Nm@1370rpm
322,Mercedes-Benz,Mercedes-Benz S-Class,S 350 D,"Rs. 1,35,58,438",2987 cc,Diesel,Sedan,9 km/litre,13.5 km/litre,,March,BS IV,"Curtain airbags, Drive side airbag, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags",Automatic,2690 kg,,,258PS@3600rpm,620Nm@1600-2400rpm
323,Mercedes-Benz,Mercedes-Benz S-Class,S 450,"Rs. 1,39,76,653",2996 cc,Petrol,Sedan,5.4 km/litre,7.81 km/litre,,March,BS IV,"Curtain airbags, Driver frontal airbag, Drive side airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags",Automatic,,,,333PS@6000RPM,480Nm@1600-4000RPM
324,Mercedes-Benz,Mercedes-Benz S-Class,Amg S 63 Coupe,"Rs. 2,55,00,000",3982 cc,Petrol,Coupe,5.4 km/litre,7.8 km/litre,,March,BS IV,"Drive side airbag, Front passenger curtain airbag, Rear passenger head airbags, Rear passenger curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags",Automatic,2535 kg,,,450PS@5500-6000RPM,900Nm@2750-4500rpm
325,Maserati,Levante,Diesel,"Rs. 1,45,12,054",2987 cc,Diesel,SUV,5.2 km/litre,6.2 km/litre,,January,BS IV,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags",Automatic,2205 kg,,,275PS@4000rpm,600Nm@2000-2600rpm
326,Maserati,Levante,Gransport,"Rs. 1,48,63,774",2979 cc,Diesel,SUV,5.2 km/litre,6.2 km/litre,,January,BS IV,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags",Automatic,2109 kg,,,350PS@5750rpm,500Nm@4500-5000rpm
327,Maserati,Levante,Granlusson,"Rs. 1,53,83,399",2979 cc,Diesel,SUV,5.2 km/litre,6.2 km/litre,,January,BS IV,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags",Automatic,2109 kg,,,430PS@5750rpm,580Nm@4500-5000rpm
328,Mercedes-Benz,Mercedes-Benz G-Class,Amg G 63,"Rs. 2,18,75,136",3982 cc,Petrol,SUV,,,,January,BS 6,"Drive side airbag, Front passenger pelvic airbag, Driver pelvic airbag, Rear passenger pelvic airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags, Driver head airbag, Front passenger head airbag",Automatic,3200 kg,,,585hp@6000rpm,850Nm@2500-3500rpm
329,Mercedes-Benz,Mercedes-Benz G-Class,G 350D,"Rs. 1,50,00,000",2925 cc,Diesel,SUV,,,,January,BS 6,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags, Driver head airbag, Front passenger head airbag, Drive side airbag, Front passenger pelvic airbag, Driver pelvic airbag, Rear passenger pelvic airbags",Automatic,3500 kg,,,289PS@1200rpm,600Nm@2500rpm
330,Audi,A8 L,55 Tfsi Quattro,"Rs. 1,56,00,000",2995 cc,Petrol,Sedan,,,,May,BS 6,"Driver head airbag, Drive side airbag, Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag",Automatic,,,,340PS@5000rpm,500Nm@1370rpm
333,Lexus,Lc 500H,Coupe,"Rs. 1,96,00,000",3456 cc,Hybrid,Coupe,,,,January,BS IV,"Driver frontal airbag, Curtain airbags, Front passenger frontal airbag, Rear passenger side airbags, Driver knee airbag, Drive side airbag, Front passenger curtain airbag, Driver curtain airbag",Automatic,2445 kg,,,299PS@6600rpm,350Nm@5100rpm
334,Mercedes-Benz,Mercedes-Benz Maybach,S650,"Rs. 2,73,08,312",5980 cc,Petrol,Sedan,,,,June,BS IV,"Drive side airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags, Curtain airbags",Automatic,,,,630PS@4800RPM,1000Nm@2300-4300rpm
335,Mercedes-Benz,Mercedes-Benz Maybach,S560,"Rs. 1,98,90,000",4663 cc,Petrol,Sedan,7.81 km/litre,7.8 km/litre,,June,BS IV,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags, Drive side airbag, Curtain airbags",Automatic,,,,453PS@5500RPM,700Nm@1800-3500RPM
336,Porsche,Panamera,Turbo,"Rs. 2,12,63,000",3996 cc,Petrol,Sedan,7.1 km/litre,7.8 km/litre,,February,BS IV,"Front passenger knee airbag, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags, Driver knee airbag",Automatic,2585 kg,,,550PS@6000RPM,770Nm@1960 - 4500rpm
337,Porsche,Panamera,Turbo Executive,"Rs. 2,26,13,000",3996 cc,Petrol,Sedan,7.1 km/litre,7.8 km/litre,,February,BS IV,"Front passenger knee airbag, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags, Driver knee airbag",Automatic,2635 kg,,,550PS@6000RPM,770Nm@1960 - 4500rpm
338,Porsche,Panamera,Turbo Sport Turismo,"Rs. 2,17,47,000",3996 cc,Petrol,Sedan,7.1 km/litre,7.8 km/litre,,February,BS IV,"Front passenger knee airbag, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags, Driver knee airbag",Automatic,2635 kg,,,550PS@6000RPM,770Nm@1960 - 4500rpm
339,Lexus,Lx 450D,V8,"Rs. 2,32,90,000",4461 cc,Diesel,SUV,18 km/litre,,,December,BS IV,"Drive side airbag, Front passenger curtain airbag, Driver curtain airbag, Rear passenger curtain airbags, Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags, Driver knee airbag",Automatic,3350 kg,,,261PS@6000rpm,650Nm@1600-2600rpm
340,Mercedes-Benz,Mercedes-Benz S-Class Cabriolet,S500,"Rs. 2,34,91,293",4663 cc,Petrol,Convertible,5.4 km/litre,7.81 km/litre,,,BS IV,"Drive side airbag, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Curtain airbags",Automatic,2590 kg,,,455PS@5500RPM,700Nm@1800-3500RPM
341,Audi,R8,V10 Plus,"Rs. 2,72,45,000",5204 cc,Petrol,Coupe,7.8 km/litre,7.8 km/litre,,To be Launched,BS IV,"Driver curtain airbag, Driver frontal airbag, Front passenger frontal airbag, Driver head airbag, Front passenger side airbag, Front passenger head airbag, Drive side airbag, Front passenger curtain airbag",Automatic,1895 kg,,,610PS@8250rpm,560Nm@6500rpm
344,Ferrari,Portofino,V8 Convertible,"Rs. 3,50,00,000",3855 cc,Petrol,Convertible,6 km/litre,9 km/litre,,September,BS IV,"Drive side airbag, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag",Automatic,,,,560PS@7500rpm,755NM@4750rpm
345,Bentley,Bentayga,W12,"Rs. 4,59,41,557",5950 cc,Petrol,SUV,"9,6 km/litre",13.1 km/litre,,June,BS IV,"Rear passenger side airbags, Driver head airbag, Drive side airbag, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag",Automatic,3250 kg,,,608PS@6000RPM,900Nm@1350rpm
346,Bentley,Bentayga,V8,"Rs. 3,75,42,069",3996 cc,Petrol,SUV,,,,June,BS IV,"Driver head airbag, Drive side airbag, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags",Automatic,3250 kg,,,550PS@6000RPM,770Nm@1350rpm
347,Aston Martin,Db 11,V12,"Rs. 4,04,56,503",5198 cc,Petrol,Coupe,6 km/litre,,,Janaury,,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Drive side airbag, Front passenger curtain airbag, Driver curtain airbag",Automatic,,,,608PS@6500rpm,700Nm@1500rpm
349,Rolls-Royce,Rolls-Royce Ghost Series Ii,6.6,"Rs. 4,67,09,733",6593 cc,Petrol,Sedan,10.5 km/litre,14.2 km/litre,,May,BS IV,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags, Curtain airbags",Automatic,2940 kg,,,563PS@5250rpm,780Nm@1700rpm
350,Rolls-Royce,Rolls-Royce Ghost Series Ii,Ewb,"Rs. 5,32,47,201",6592 cc,Petrol,Sedan,,,,May,BS IV,"Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags, Curtain airbags, Driver frontal airbag",Automatic,2940 kg,,,570 bhp @ 5250 rpm,780 Nm @ 1500-5000 rpm
351,Rolls-Royce,Rolls-Royce Wraith,Coupe,"Rs. 5,00,25,840",6592 cc,Petrol,Coupe,4.7 km/litre,10.2 km/litre,,May,BS IV,,Automatic,2810 kg,,,625PS@5600rpm,800Nm@1500-5500rpm
352,Bentley,Mulsanne,Sedan,"Rs. 5,25,71,294",6752 cc,Petrol,Sedan,6.2 km/litre,9.5 km/litre,,October,BS IV,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags, Curtain airbags",Automatic,3200 kg,,,512PS@4200rpm,1020Nm@1750rpm
353,Rolls-Royce,Rolls-Royce Cullinan,Suv,"Rs. 6,95,00,000",6750 cc,Petrol,SUV,,,,December,BS 6,,Automatic,2660 kg,,,563@5000rpm,850 Nm@1600rpm
354,Rolls-Royce,Rolls-Royce Phantom Coupe,6.8 L,"Rs. 7,73,12,661",6749 cc,Petrol,Coupe,10.2 km/litre,14.8 km/litre,,December,BS IV,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags, Curtain airbags",Automatic,3050 kg,,,460PS@5350rpm,720Nm@3500rpm
355,Bugatti,Chiron,W16,"Rs. 19,21,42,937",7993 cc,Petrol,Sports,,,,February,BS 6,"Driver frontal airbag, Front passenger frontal airbag, Driver knee airbag, Front passenger knee airbag, Curtain airbags",Automatic,,,,1479bhp@6700rpm,1600Nm@2000-6000rpm
356,Bugatti,Chiron,Sport,"Rs. 21,21,55,397",7993 cc,Petrol,Sports,,,,February,BS 6,"Driver frontal airbag, Front passenger frontal airbag, Driver knee airbag, Front passenger knee airbag, Curtain airbags",Automatic,,,,1600Nm@2000-6000rpm,1479bhp@6700rpm
357,Bajaj,Qute (Re60),Qcar,"Rs. 2,63,000",216 cc,Petrol,Hatchback,,,,January,BS IV,,Manual,,,,13bhp@5500rpm,18.9Nm@4000rpm
358,Bajaj,Qute (Re60),Qcar Cng,"Rs. 2,83,000",216 cc,CNG,Hatchback,,,,January,BS IV,,Manual,,,,12bhp@5500rpm,16.1Nm@4000rpm
359,Maruti Suzuki,Alto,Std,"Rs. 2,94,800",796 cc,Petrol,Hatchback,,,,January,BS 6,,Manual,1185 kg,,,48PS@6000rpm,69Nm@3500rpm
360,Maruti Suzuki,Alto,Std (O),"Rs. 2,99,900",796 cc,Petrol,Hatchback,,,,January,BS 6,"Driver frontal airbag, Front passenger frontal airbag",Manual,1185 kg,,,48PS@6000rpm,69Nm@3500rpm
361,Maruti Suzuki,Alto,Lxi,"Rs. 3,52,900",796 cc,Petrol,Hatchback,,,,January,BS 6,,Manual,1185 kg,,,47hp@6000rpm,69Nm@3500rpm
362,Maruti Suzuki,Alto,Lxi (O),"Rs. 3,57,200",796 cc,Petrol,Hatchback,,,,January,BS 6,Driver frontal airbag,Manual,1185 kg,,,48PS@6000rpm,69Nm@3500rpm
363,Maruti Suzuki,Alto,Vxi,"Rs. 3,76,100",796 cc,Petrol,Hatchback,,,,January,BS 6,"Driver frontal airbag, Front passenger frontal airbag",Manual,1185 kg,,,48PS@6000rpm,69Nm@3500rpm
364,Maruti Suzuki,Alto,Lxi Cng (Cng +,"Rs. 4,05,570",796 cc,CNG + Petrol,Hatchback,,,,January,BS 6,,Manual,1185 kg,,,47hp@6000rpm,69Nm@3500rpm
365,Maruti Suzuki,Alto,Lxi (O) Cng (Cng +,"Rs. 4,09,190",796 cc,CNG + Petrol,Hatchback,,,,January,BS 6,Driver frontal airbag,Manual,1185 kg,,,48PS@6000rpm,69Nm@3500rpm
366,Maruti Suzuki,Alto,Vxi Plus,"Rs. 3,89,600",796 cc,Petrol,Hatchback,,,,January,BS 6,"Driver frontal airbag, Front passenger frontal airbag",Manual,1185 kg,,,48PS@6000rpm,69Nm@3500rpm
367,Maruti Suzuki,S-Presso,Std,"Rs. 3,70,500",998 cc,Petrol,Hatchback,,,,September,BS 6,Driver frontal airbag,Manual,1170 kg,,,67PS@5500rpm,90Nm@3500rpm
368,Maruti Suzuki,S-Presso,Std (O),"Rs. 3,76,500",998 cc,Petrol,Hatchback,,,,September,BS 6,"Driver frontal airbag, Front passenger frontal airbag",Manual,1170 kg,,,67PS@5500rpm,90Nm@3500rpm
369,Maruti Suzuki,S-Presso,Lxi,"Rs. 4,09,000",998 cc,Petrol,Hatchback,,,,September,BS 6,Driver frontal airbag,Manual,1170 kg,,,67PS@5500rpm,90Nm@3500rpm
370,Maruti Suzuki,S-Presso,Lxi (O),"Rs. 4,15,000",998 cc,Petrol,Hatchback,,,,September,BS 6,"Driver frontal airbag, Front passenger frontal airbag",Manual,1170 kg,,,67PS@5500rpm,90Nm@3500rpm
371,Maruti Suzuki,S-Presso,Vxi,"Rs. 4,32,500",998 cc,Petrol,Hatchback,,,,September,BS 6,Driver frontal airbag,Manual,1170 kg,,,67PS@5500rpm,90Nm@3500rpm
372,Maruti Suzuki,S-Presso,Vxi (O),"Rs. 4,38,500",998 cc,Petrol,Hatchback,,,,September,BS 6,"Driver frontal airbag, Front passenger frontal airbag",Manual,1170 kg,,,67PS@5500rpm,90Nm@3500rpm
373,Maruti Suzuki,S-Presso,Vxi Ags,"Rs. 4,75,500",998 cc,Petrol,Hatchback,,,,September,BS 6,Driver frontal airbag,AMT,1170 kg,,,67PS@5500rpm,90Nm@3500rpm
374,Maruti Suzuki,S-Presso,Vxi+,"Rs. 4,56,000",998 cc,Petrol,Hatchback,,,,September,BS 6,"Driver frontal airbag, Front passenger frontal airbag",Manual,1170 kg,,,67PS@5500rpm,90Nm@3500rpm
375,Maruti Suzuki,S-Presso,Vxi (O) Ags,"Rs. 4,81,500",998 cc,Petrol,Hatchback,,,,September,BS 6,"Driver frontal airbag, Front passenger frontal airbag",AMT,1170 kg,,,67PS@5500rpm,90Nm@3500rpm
376,Maruti Suzuki,S-Presso,Vxi+ Ags,"Rs. 4,99,000",998 cc,Petrol,Hatchback,,,,September,BS 6,"Driver frontal airbag, Front passenger frontal airbag",AMT,1170 kg,,,67PS@5500rpm,90Nm@3500rpm
377,Maruti Suzuki,Celerio,Lxi,"Rs. 4,26,289",998 cc,Petrol,Hatchback,23 km/litre,,,November,BS 6,,Manual,1250 kg,,,68PS@6000rpm,90Nm@3500rpm
378,Maruti Suzuki,Celerio,Vxi,"Rs. 4,65,138",998 cc,Petrol,Hatchback,23 km/litre,22 km/litre,,November,BS 6,,Manual,1250 kg,,,68PS@6000rpm,90Nm@3500rpm
379,Maruti Suzuki,Celerio,Vxi At,"Rs. 5,08,138",998 cc,Petrol,Hatchback,23 km/litre,22 km/litre,,November,BS 6,,Automatic,1250 kg,,,68PS@6000rpm,90Nm@3500rpm
380,Maruti Suzuki,Celerio,Zxi,"Rs. 4,90,924",998 cc,Petrol,Hatchback,23 km/litre,22 km/litre,,November,BS 6,Driver frontal airbag,Manual,1250 kg,,,68PS@6000rpm,90Nm@3500rpm
